"","name","ID","infected_vs_control_p.val","infected_vs_control_p.adj","significant","infected_vs_control_significant","infected_vs_control_ratio","control_centered","infected_centered"
"1","sp|P01840|KAC4_RABIT","sp|P01840|KAC4_RABIT",5.44950956362899e-06,4.92e-08,TRUE,TRUE,-5.15,2.58,-2.58
"2","tr|A0A5F9C0P4|A0A5F9C0P4_RABIT","tr|A0A5F9C0P4|A0A5F9C0P4_RABIT",2.05079541701699e-06,3.71e-11,TRUE,TRUE,-4.78,2.39,-2.39
"3","tr|A0A5F9CFU9|A0A5F9CFU9_RABIT","tr|A0A5F9CFU9|A0A5F9CFU9_RABIT",0.000373706297611765,0.0473,TRUE,TRUE,-2.41,1.2,-1.2
"4","tr|A0A5F9CFY2|A0A5F9CFY2_RABIT","tr|A0A5F9CFY2|A0A5F9CFY2_RABIT",4.99407977661251e-05,0.000583,TRUE,TRUE,2.76,-1.38,1.38
"5","tr|A0A5F9CU52|A0A5F9CU52_RABIT","tr|A0A5F9CU52|A0A5F9CU52_RABIT",8.44405684770283e-07,2.32e-13,TRUE,TRUE,4.95,-2.47,2.47
"6","tr|A0A5F9CYF1|A0A5F9CYF1_RABIT","tr|A0A5F9CYF1|A0A5F9CYF1_RABIT",6.92906429198684e-05,0.00144,TRUE,TRUE,6.33,-3.17,3.17
"7","tr|A0A5F9D973|A0A5F9D973_RABIT","tr|A0A5F9D973|A0A5F9D973_RABIT",5.79554837932344e-05,0.000866,TRUE,TRUE,-2.92,1.46,-1.46
"8","tr|A0A5F9DB66|A0A5F9DB66_RABIT","tr|A0A5F9DB66|A0A5F9DB66_RABIT",1.30837617322889e-06,8.11e-13,TRUE,TRUE,-5.27,2.64,-2.64
"9","tr|A0A5F9DER9|A0A5F9DER9_RABIT","tr|A0A5F9DER9|A0A5F9DER9_RABIT",5.12656343136891e-05,0.000615,TRUE,TRUE,3.29,-1.65,1.65
"10","tr|A0A5F9DI44|A0A5F9DI44_RABIT","tr|A0A5F9DI44|A0A5F9DI44_RABIT",0.000194162198733635,0.0154,TRUE,TRUE,-2.96,1.48,-1.48
"11","tr|A0A5F9DN27|A0A5F9DN27_RABIT","tr|A0A5F9DN27|A0A5F9DN27_RABIT",0.000183049409696467,0.0139,TRUE,TRUE,2.94,-1.47,1.47
"12","tr|A0A5F9DTZ2|A0A5F9DTZ2_RABIT","tr|A0A5F9DTZ2|A0A5F9DTZ2_RABIT",1.79110470126525e-05,2.08e-05,TRUE,TRUE,-3.44,1.72,-1.72
"13","tr|G1SD48|G1SD48_RABIT","tr|G1SD48|G1SD48_RABIT",0.00013920781869193,0.00821,TRUE,TRUE,-3.47,1.74,-1.74
"14","tr|G1SHQ7|G1SHQ7_RABIT","tr|G1SHQ7|G1SHQ7_RABIT",0.0001150146354963,0.00548,TRUE,TRUE,3.12,-1.56,1.56
"15","tr|G1SIF7|G1SIF7_RABIT","tr|G1SIF7|G1SIF7_RABIT",0.000283429726428666,0.0301,TRUE,TRUE,2.8,-1.4,1.4
"16","tr|G1SJC1|G1SJC1_RABIT","tr|G1SJC1|G1SJC1_RABIT",0.000299865223418018,0.0328,TRUE,TRUE,-3.45,1.72,-1.72
"17","tr|G1SL68|G1SL68_RABIT","tr|G1SL68|G1SL68_RABIT",3.68091800565052e-05,0.000263,TRUE,TRUE,3.86,-1.93,1.93
"18","tr|G1SMD2|G1SMD2_RABIT","tr|G1SMD2|G1SMD2_RABIT",5.12843120776509e-05,0.000616,TRUE,TRUE,4.69,-2.35,2.35
"19","tr|G1SML4|G1SML4_RABIT","tr|G1SML4|G1SML4_RABIT",5.12680316174577e-05,0.000615,TRUE,TRUE,3.08,-1.54,1.54
"20","tr|G1SN68|G1SN68_RABIT","tr|G1SN68|G1SN68_RABIT",3.64983319182157e-05,0.000258,TRUE,TRUE,3.14,-1.57,1.57
"21","tr|G1SP46|G1SP46_RABIT","tr|G1SP46|G1SP46_RABIT",3.52470668301959e-05,0.000237,TRUE,TRUE,4.83,-2.41,2.41
"22","tr|G1SV35|G1SV35_RABIT","tr|G1SV35|G1SV35_RABIT",0.000191892641953313,0.0151,TRUE,TRUE,3.04,-1.52,1.52
"23","tr|G1SVM1|G1SVM1_RABIT","tr|G1SVM1|G1SVM1_RABIT",0.000187180480464468,0.0145,TRUE,TRUE,2.9,-1.45,1.45
"24","tr|G1T0Q0|G1T0Q0_RABIT","tr|G1T0Q0|G1T0Q0_RABIT",0.000130643779016578,0.00722,TRUE,TRUE,-3.02,1.51,-1.51
"25","tr|G1T2I4|G1T2I4_RABIT","tr|G1T2I4|G1T2I4_RABIT",9.51015199357086e-05,0.00346,TRUE,TRUE,2.24,-1.12,1.12
"26","tr|G1T501|G1T501_RABIT","tr|G1T501|G1T501_RABIT",0.000302308264980976,0.0332,TRUE,TRUE,2.92,-1.46,1.46
"27","tr|G1T6X2|G1T6X2_RABIT","tr|G1T6X2|G1T6X2_RABIT",1.26122979654092e-05,5.19e-06,TRUE,TRUE,-4.01,2,-2
"28","tr|G1T8P3|G1T8P3_RABIT","tr|G1T8P3|G1T8P3_RABIT",3.72812968774866e-05,0.000271,TRUE,TRUE,-3.24,1.62,-1.62
"29","tr|G1TGI3|G1TGI3_RABIT","tr|G1TGI3|G1TGI3_RABIT",0.000299721040899453,0.0328,TRUE,TRUE,5.26,-2.63,2.63
"30","tr|G1TJR7|G1TJR7_RABIT","tr|G1TJR7|G1TJR7_RABIT",0.000284851400782872,0.0304,TRUE,TRUE,-4.47,2.24,-2.24
"31","tr|G1U6Q9|G1U6Q9_RABIT","tr|G1U6Q9|G1U6Q9_RABIT",1.81535652899036e-05,2.17e-05,TRUE,TRUE,-4.07,2.04,-2.04
"32","sp|O02766|CP8B1_RABIT","sp|O02766|CP8B1_RABIT",0.55043708191682,0.925,FALSE,FALSE,-0.188,0.0942,-0.0942
"33","sp|O02767|ACOX2_RABIT","sp|O02767|ACOX2_RABIT",0.0495842387212547,0.803,FALSE,FALSE,0.659,-0.329,0.329
"34","sp|O19048|PCBP1_RABIT","sp|O19048|PCBP1_RABIT",0.257641149320753,0.899,FALSE,FALSE,0.315,-0.157,0.157
"35","sp|O19103|UDB16_RABIT","sp|O19103|UDB16_RABIT",0.377623245164671,0.913,FALSE,FALSE,-0.416,0.208,-0.208
"36","sp|O46650|ADHQ_RABIT","sp|O46650|ADHQ_RABIT",0.341608671817093,0.91,FALSE,FALSE,0.468,-0.234,0.234
"37","sp|O62742|NLTP_RABIT","sp|O62742|NLTP_RABIT",0.144042159409886,0.874,FALSE,FALSE,0.498,-0.249,0.249
"38","sp|O77622|TCPZ_RABIT","sp|O77622|TCPZ_RABIT",0.856068445268243,0.937,FALSE,FALSE,-0.0548,0.0274,-0.0274
"39","sp|O79431|ATP8_RABIT","sp|O79431|ATP8_RABIT",0.145741774867673,0.874,FALSE,FALSE,-0.816,0.408,-0.408
"40","sp|O97972|INMT_RABIT","sp|O97972|INMT_RABIT",0.000640580063464726,0.0954,FALSE,FALSE,-2.19,1.1,-1.1
"41","sp|P00169|CYB5_RABIT","sp|P00169|CYB5_RABIT",0.0451354692379822,0.794,FALSE,FALSE,-0.842,0.421,-0.421
"42","sp|P00181|CP2C2_RABIT","sp|P00181|CP2C2_RABIT",0.345904287252539,0.91,FALSE,FALSE,0.355,-0.178,0.178
"43","sp|P00187|CP1A2_RABIT","sp|P00187|CP1A2_RABIT",0.127590287170859,0.867,FALSE,FALSE,-2.89,1.45,-1.45
"44","sp|P00389|NCPR_RABIT","sp|P00389|NCPR_RABIT",0.136540205002005,0.871,FALSE,FALSE,0.591,-0.295,0.295
"45","sp|P00637|F16P1_RABIT","sp|P00637|F16P1_RABIT",0.83542291360013,0.936,FALSE,FALSE,-0.0841,0.0421,-0.0421
"46","sp|P00883|ALDOA_RABIT","sp|P00883|ALDOA_RABIT",0.959266700137632,0.94,FALSE,FALSE,0.0159,-0.00794,0.00794
"47","sp|P00919|CAH2_RABIT","sp|P00919|CAH2_RABIT",0.691323220858662,0.931,FALSE,FALSE,0.148,-0.074,0.074
"48","sp|P00939|TPIS_RABIT","sp|P00939|TPIS_RABIT",0.246912277651121,0.898,FALSE,FALSE,-0.454,0.227,-0.227
"49","sp|P00949|PGM1_RABIT","sp|P00949|PGM1_RABIT",0.934676649733813,0.939,FALSE,FALSE,-0.0246,0.0123,-0.0123
"50","sp|P01832|PIGR_RABIT","sp|P01832|PIGR_RABIT",0.491889884703115,0.921,FALSE,FALSE,0.724,-0.362,0.362
"51","sp|P01948|HBA_RABIT","sp|P01948|HBA_RABIT",0.03053638920998,0.755,FALSE,FALSE,-1.58,0.79,-0.79
"52","sp|P02057|HBB_RABIT","sp|P02057|HBB_RABIT",0.0247788473679186,0.73,FALSE,FALSE,-1.69,0.846,-0.846
"53","sp|P02251|H13_RABIT","sp|P02251|H13_RABIT",0.0103925146059947,0.595,FALSE,FALSE,-1.28,0.642,-0.642
"54","sp|P02252|H14_RABIT","sp|P02252|H14_RABIT",0.543898037756996,0.924,FALSE,FALSE,-0.384,0.192,-0.192
"55","sp|P05176|CP1A1_RABIT","sp|P05176|CP1A1_RABIT",0.0557215783771065,0.813,FALSE,FALSE,1.3,-0.649,0.649
"56","sp|P08507|GPDA_RABIT","sp|P08507|GPDA_RABIT",0.374820134790065,0.913,FALSE,FALSE,0.299,-0.15,0.15
"57","sp|P09809|APOA1_RABIT","sp|P09809|APOA1_RABIT",0.0143403208631156,0.651,FALSE,FALSE,-1.17,0.583,-0.583
"58","sp|P10658|SERC_RABIT","sp|P10658|SERC_RABIT",0.367882135626372,0.912,FALSE,FALSE,-0.333,0.166,-0.166
"59","sp|P11246|ARY2_RABIT","sp|P11246|ARY2_RABIT",0.644123229389425,0.929,FALSE,FALSE,0.229,-0.115,0.115
"60","sp|P11645|URIC_RABIT","sp|P11645|URIC_RABIT",0.367123110811078,0.912,FALSE,FALSE,0.556,-0.278,0.278
"61","sp|P11707|CP3A6_RABIT","sp|P11707|CP3A6_RABIT",0.102206384028675,0.855,FALSE,FALSE,1.2,-0.598,0.598
"62","sp|P11974|KPYM_RABIT","sp|P11974|KPYM_RABIT",0.353368601251419,0.911,FALSE,FALSE,-0.368,0.184,-0.184
"63","sp|P12337|EST1_RABIT","sp|P12337|EST1_RABIT",0.0118285120074778,0.618,FALSE,FALSE,-1.13,0.566,-0.566
"64","sp|P12345|AATM_RABIT","sp|P12345|AATM_RABIT",0.0913963198796583,0.848,FALSE,FALSE,0.576,-0.288,0.288
"65","sp|P12530|LOX15_RABIT","sp|P12530|LOX15_RABIT",0.308816012288591,0.906,FALSE,FALSE,-1.29,0.646,-0.646
"66","sp|P12789|CP2B5_RABIT","sp|P12789|CP2B5_RABIT",0.0448200157995996,0.794,FALSE,FALSE,-3.09,1.54,-1.54
"67","sp|P13491|LDHA_RABIT","sp|P13491|LDHA_RABIT",0.0752897097825515,0.835,FALSE,FALSE,-0.534,0.267,-0.267
"68","sp|P13642|SYSC_RABIT","sp|P13642|SYSC_RABIT",0.145588936585714,0.874,FALSE,FALSE,2,-0.999,0.999
"69","sp|P14755|CRYL1_RABIT","sp|P14755|CRYL1_RABIT",0.523484755937301,0.923,FALSE,FALSE,0.198,-0.0992,0.0992
"70","sp|P15123|CP2CG_RABIT","sp|P15123|CP2CG_RABIT",0.0073926886635612,0.526,FALSE,FALSE,2.09,-1.04,1.04
"71","sp|P15196|SHBG_RABIT","sp|P15196|SHBG_RABIT",0.0303160184354743,0.754,FALSE,FALSE,-2.55,1.27,-1.27
"72","sp|P15253|CALR_RABIT","sp|P15253|CALR_RABIT",0.000999919168497046,0.145,FALSE,FALSE,-5.1,2.55,-2.55
"73","sp|P16258|OSBP1_RABIT","sp|P16258|OSBP1_RABIT",0.176497893829303,0.883,FALSE,FALSE,0.449,-0.224,0.224
"74","sp|P17177|CP27A_RABIT","sp|P17177|CP27A_RABIT",0.294642436575336,0.904,FALSE,FALSE,0.41,-0.205,0.205
"75","sp|P21195|PDIA1_RABIT","sp|P21195|PDIA1_RABIT",0.0239503881234277,0.726,FALSE,FALSE,-0.909,0.454,-0.454
"76","sp|P23612|SYWC_RABIT","sp|P23612|SYWC_RABIT",0.730488375478764,0.933,FALSE,FALSE,0.142,-0.0709,0.0709
"77","sp|P25915|FRIH_RABIT","sp|P25915|FRIH_RABIT",0.0202381537915546,0.703,FALSE,FALSE,1.23,-0.615,0.615
"78","sp|P27124|FKBP4_RABIT","sp|P27124|FKBP4_RABIT",0.753954709232199,0.934,FALSE,FALSE,0.106,-0.0528,0.0528
"79","sp|P27170|PON1_RABIT","sp|P27170|PON1_RABIT",0.0565233108779815,0.814,FALSE,FALSE,-0.932,0.466,-0.466
"80","sp|P29294|MYLK_RABIT","sp|P29294|MYLK_RABIT",0.090296384505395,0.847,FALSE,FALSE,1.6,-0.799,0.799
"81","sp|P29562|IF4A1_RABIT","sp|P29562|IF4A1_RABIT",0.186480198957053,0.886,FALSE,FALSE,0.469,-0.234,0.234
"82","sp|P29694|EF1G_RABIT","sp|P29694|EF1G_RABIT",0.00104234601323881,0.149,FALSE,FALSE,2,-1,1
"83","sp|P30947|HS90B_RABIT","sp|P30947|HS90B_RABIT",0.98898657166468,0.941,FALSE,FALSE,0.0041,-0.00205,0.00205
"84","sp|P31030|SPYA_RABIT","sp|P31030|SPYA_RABIT",0.00425272604834716,0.402,FALSE,FALSE,2.07,-1.03,1.03
"85","sp|P32417|FMO3_RABIT","sp|P32417|FMO3_RABIT",0.42542004388216,0.917,FALSE,FALSE,-0.504,0.252,-0.252
"86","sp|P36512|UDB13_RABIT","sp|P36512|UDB13_RABIT",0.983090736598409,0.941,FALSE,FALSE,0.0064,-0.0032,0.0032
"87","sp|P36513|UDB14_RABIT","sp|P36513|UDB14_RABIT",0.377606787087926,0.913,FALSE,FALSE,-0.297,0.148,-0.148
"88","sp|P36514|UD2C1_RABIT","sp|P36514|UD2C1_RABIT",0.355644895195161,0.911,FALSE,FALSE,0.328,-0.164,0.164
"89","sp|P41035|IF2B_RABIT","sp|P41035|IF2B_RABIT",0.0924742458492741,0.849,FALSE,FALSE,-0.613,0.307,-0.307
"90","sp|P41111|EI2BD_RABIT","sp|P41111|EI2BD_RABIT",0.311690131409278,0.906,FALSE,FALSE,0.607,-0.303,0.303
"91","sp|P48738|PIPNA_RABIT","sp|P48738|PIPNA_RABIT",0.03086458096255,0.756,FALSE,FALSE,-1.03,0.517,-0.517
"92","sp|P51662|ANXA1_RABIT","sp|P51662|ANXA1_RABIT",0.448206736813696,0.918,FALSE,FALSE,-0.621,0.311,-0.311
"93","sp|P53787|EF1D_RABIT","sp|P53787|EF1D_RABIT",0.0388608172100915,0.78,FALSE,FALSE,0.733,-0.367,0.367
"94","sp|P62143|PP1B_RABIT","sp|P62143|PP1B_RABIT",0.498748424111791,0.922,FALSE,FALSE,0.187,-0.0935,0.0935
"95","sp|P62497|ERF1_RABIT","sp|P62497|ERF1_RABIT",0.120953962986312,0.865,FALSE,FALSE,0.667,-0.333,0.333
"96","sp|P62975|UBIQ_RABIT","sp|P62975|UBIQ_RABIT",0.40190947154939,0.915,FALSE,FALSE,-0.753,0.376,-0.376
"97","sp|P67828|KC1A_RABIT","sp|P67828|KC1A_RABIT",0.0243599824532828,0.728,FALSE,FALSE,-0.987,0.493,-0.493
"98","sp|P68105|EF1A1_RABIT","sp|P68105|EF1A1_RABIT",0.851169283442239,0.937,FALSE,FALSE,0.0743,-0.0371,0.0371
"99","sp|P79226|ALDOB_RABIT","sp|P79226|ALDOB_RABIT",0.0855004489522679,0.844,FALSE,FALSE,0.916,-0.458,0.458
"100","sp|P79398|IF4G2_RABIT","sp|P79398|IF4G2_RABIT",0.0280689337512595,0.745,FALSE,FALSE,1.61,-0.807,0.807
"101","sp|P80405|MTHFS_RABIT","sp|P80405|MTHFS_RABIT",0.0432652181861985,0.791,FALSE,FALSE,-3.08,1.54,-1.54
"102","sp|P80456|AOXA_RABIT","sp|P80456|AOXA_RABIT",0.244955136473036,0.897,FALSE,FALSE,1.75,-0.876,0.876
"103","sp|P98137|CO8B_RABIT","sp|P98137|CO8B_RABIT",0.171742694584683,0.882,FALSE,FALSE,-0.665,0.333,-0.333
"104","sp|Q01971|RAB2A_RABIT","sp|Q01971|RAB2A_RABIT",0.726906143330885,0.933,FALSE,FALSE,0.204,-0.102,0.102
"105","sp|Q04799|FMO5_RABIT","sp|Q04799|FMO5_RABIT",0.409858023487528,0.916,FALSE,FALSE,0.261,-0.13,0.13
"106","sp|Q05556|CP2AB_RABIT","sp|Q05556|CP2AB_RABIT",0.104082269149038,0.856,FALSE,FALSE,-0.587,0.294,-0.294
"107","sp|Q08862|GSTA_RABIT","sp|Q08862|GSTA_RABIT",0.304340437635329,0.905,FALSE,FALSE,0.302,-0.151,0.151
"108","sp|Q08863|GSTA1_RABIT","sp|Q08863|GSTA1_RABIT",0.323843482820193,0.908,FALSE,FALSE,0.465,-0.232,0.232
"109","sp|Q28618|YBOX1_RABIT","sp|Q28618|YBOX1_RABIT",0.184441222920632,0.885,FALSE,FALSE,-0.557,0.279,-0.279
"110","sp|Q28717|PTPA_RABIT","sp|Q28717|PTPA_RABIT",0.13874859370127,0.872,FALSE,FALSE,0.503,-0.252,0.252
"111","sp|Q28719|PTGR1_RABIT","sp|Q28719|PTGR1_RABIT",0.112762001584815,0.861,FALSE,FALSE,-1.19,0.596,-0.596
