protein,log2_fold_change,infected_vs_control_p.adj
A0A5F9CU52,4.947650124,2.32E-13
A0A5F9DB66,-5.270349579,8.11E-13
A0A5F9C0P4,-4.783562475,3.71E-11
P01840,-5.154735535,4.92E-08
G1T6X2,-4.005605269,5.19E-06
A0A5F9DTZ2,-3.439822562,2.08E-05
G1U6Q9,-4.072927048,2.17E-05
G1SP46,4.828853235,0.000237
G1SN68,3.143019455,0.000258
G1SL68,3.856072918,0.000263
G1T8P3,-3.235752236,0.000271
A0A5F9CFY2,2.760481142,0.000583
A0A5F9DER9,3.290612419,0.000615
G1SML4,3.07532517,0.000615
G1SMD2,4.693528977,0.000616
A0A5F9D973,-2.919180568,0.000866
A0A5F9CYF1,6.332477473,0.00144
G1T2I4,2.242157182,0.00346
G1SHQ7,3.124977455,0.00548
G1T0Q0,-3.018408106,0.00722
G1SD48,-3.471122472,0.00821
A0A5F9DN27,2.939086426,0.0139
G1SVM1,2.895597892,0.0145
G1SV35,3.040714516,0.0151
A0A5F9DI44,-2.960047926,0.0154
G1SIF7,2.804411819,0.0301
G1TJR7,-4.474663605,0.0304
G1SJC1,-3.445255256,0.0328
G1TGI3,5.257896181,0.0328
G1T501,2.916722954,0.0332
A0A5F9CFU9,-2.405961907,0.0473
G1SSX5,2.596747463,0.0522
G1U0B4,-2.321019209,0.0591
G1T545,-3.647959397,0.074
G1T3S1,3.011466146,0.0793
A0A5F9DGC1,2.125608025,0.0818
A0A5F9CRJ4,6.454724193,0.0852
G1TED6,-2.350506259,0.0902
G1SLK6,2.189226267,0.0906
G1TCE2,-3.204831257,0.0952
O97972,-2.193721968,0.0954
A0A5F9DPB8,3.229334883,0.114
G1U754,-2.187037077,0.117
A0A5F9D9E8,3.0082694,0.12
G1SYK4,-2.169879996,0.126
G1TX83,-1.577116914,0.127
A0A5F9DDV7,5.82310125,0.132
G1THZ6,-2.753104114,0.132
G1TV79,-1.798927467,0.135
A0A5F9CJQ2,-3.951381522,0.138
U3KML1,-4.645242044,0.138
A0A5F9CRR4,1.645330527,0.144
P15253,-5.095024155,0.145
A0A5F9D7E3,1.616409847,0.146
P29694,2.00372114,0.149
A0A5F9CSX2,2.187625163,0.153
A0A5F9CQS0,2.373892944,0.154
G1SGX4,1.717248484,0.159
G1TA11,3.387879005,0.174
G1SUY5,-1.384879475,0.175
G1T601,1.998616437,0.181
A0A5F9D9L7,2.351343331,0.195
G1TAF8,-2.18285765,0.203
G1T7I4,3.404138959,0.208
G1SL94,1.44830663,0.213
A0A5F9CNV6,1.564958243,0.214
G1T508,2.149073125,0.214
A0A5F9CUJ0,1.881072641,0.217
G1SXR1,-5.550214829,0.217
G1T127,-2.711898055,0.227
G1T4Z2,1.371381797,0.23
A0A5F9CHQ5,-1.465164168,0.234
A0A5F9C7E2,3.851535491,0.236
G1TWP4,1.225967782,0.236
A0A5F9C9R7,4.525158654,0.237
A0A5F9CN86,1.491703117,0.237
G1SQV5,1.847183074,0.244
A0A5F9CRP6,1.695822686,0.246
G1TGH4,-2.748322134,0.247
A0A5F9D785,1.600512687,0.251
A0A5F9CRE1,-1.646171788,0.254
G1SJJ9,-1.651500089,0.254
G1T3E6,1.549994145,0.263
G1TTK6,1.487918055,0.263
A0A5F9DPZ2,1.476098388,0.265
A0A5F9CMG0,3.13662299,0.269
A0A5F9C6C7,3.397065786,0.27
A0A5F9CB93,2.976169712,0.27
G1SES9,-1.558261913,0.271
G1SLL6,-3.804050205,0.276
G1TVX2,2.401296904,0.285
U3KNH6,1.306667921,0.33
A0A5F9CSS2,3.113989127,0.331
G1T536,3.006285679,0.334
G1SQG6,-1.454967532,0.339
G1SMR7,1.243510707,0.34
G1T2S7,-1.170974604,0.341
G1SSB3,-1.606811428,0.342
A0A5F9CAI5,-2.989966313,0.347
Q9BGN0,-1.356696934,0.347
G1SUI9,-1.476123782,0.348
G1TEG8,2.831426726,0.361
A0A5F9D4S1,2.85147245,0.378
G1U0Z7,1.110245061,0.381
G1TPG3,1.905897597,0.39
P31030,2.067413511,0.402
A0A5F9CNX5,-2.636602035,0.404
G1SVH0,1.163390955,0.42
G1ST24,4.572989078,0.428
G1SWF3,-1.394506093,0.432
G1T4N4,2.889327883,0.438
A0A5F9CHN8,1.750427438,0.446
A0A5F9DU56,3.122316849,0.446
G1SSA2,1.135517659,0.446
A0A5F9CPE8,2.210254757,0.447
G1T705,-1.658347838,0.454
G1SFN1,-1.23595143,0.457
U3KMR2,-3.387820376,0.464
A0A5F9CEF1,1.464402901,0.466
A0A5F9C4P5,-2.301556987,0.488
G1TGB5,2.375594571,0.494
G1SSJ7,3.318505733,0.503
G1T9H0,1.11273119,0.504
G1SZE0,2.069937803,0.508
G1T9S4,2.364231761,0.514
G1T1Z5,-1.579898031,0.519
G1U0J7,-1.439522977,0.522
G1SKJ7,1.033216903,0.525
P15123,2.086384665,0.526
G1SLK2,1.526366741,0.527
G1SJM1,-2.502216304,0.53
G1SVA3,1.976353388,0.533
G1SIK0,-1.317873962,0.535
G1T8H3,1.303515617,0.538
A0A5F9D9E9,1.002614946,0.546
G1T704,1.008966774,0.547
A0A5F9CSX3,-1.421923467,0.557
Q8MK67,-1.388702704,0.558
G1SPB6,3.298095618,0.559
G1T8M9,1.899260005,0.559
A0A5F9DS95,4.982600274,0.562
A0A5F9D6S8,-1.239756753,0.564
G1TDU0,1.668416663,0.566
G1SFH6,-1.137930704,0.57
G1SEF5,-1.845363106,0.571
G1T4Q9,1.282161898,0.577
A0A5F9DUG2,-2.726519174,0.581
G1SSY8,-1.519147775,0.583
A0A5F9CWM1,-0.980803978,0.584
A0A5F9C0X6,-1.559048613,0.586
G1TE88,1.099536941,0.59
G1U7I9,-0.862490138,0.591
G1SNS0,1.361474934,0.594
P02251,-1.283077112,0.595
A0A5F9DHY5,4.128101713,0.612
G1U8P2,-1.900064934,0.612
G1SN11,3.649778655,0.614
G1TG89,-0.901076839,0.615
G1SL60,-1.947258414,0.616
G1TDS8,-2.309769053,0.616
G1SHL8,2.685346655,0.618
P12337,-1.132099953,0.618
A0A5F9DAE7,2.324425036,0.62
G1SZN0,1.161502888,0.621
G1SW24,1.187990708,0.626
A0A5F9CUN1,1.027338723,0.63
B7NZF1,-1.332881916,0.634
G1SU71,1.120266845,0.634
G1TDC3,-0.825409991,0.638
G1U153,2.230293281,0.638
G1SKN7,3.237648655,0.64
G1TNI4,3.93312088,0.64
A0A5F9D2Z0,2.349277187,0.642
A0A5F9D911,-1.635763388,0.644
A0A5F9CVG0,1.653585305,0.645
A0A5F9CAU6,-1.08258738,0.646
G1T5B7,2.657841732,0.646
A0A5F9CLT4,-4.275947362,0.647
G1TEM7,-0.956136267,0.648
G1TK30,-0.873159853,0.649
G1T1V5,1.023372933,0.65
G1SGN5,-1.696248697,0.651
P09809,-1.165311918,0.651
G1SW00,1.988274409,0.652
A0A5F9D2H6,2.321114246,0.653
G1T2L1,0.961891281,0.655
G1SN14,1.399676382,0.656
G1STW0,1.117299543,0.658
G1U6S0,-0.969615502,0.658
G1SCK5,-2.038523693,0.659
G1T623,-1.405970521,0.66
A0A5F9DR45,-1.797160175,0.663
G1SDL3,-1.069301222,0.666
A0A5F9CQQ0,1.067820427,0.667
G1TKL2,-1.18256585,0.669
A0A5F9C4Q0,-1.324503743,0.671
G1SUQ9,-0.934594176,0.671
A0A5F9D938,-2.558994728,0.673
G1SPF9,-2.892533704,0.673
G1TRK3,-1.034201273,0.675
G1TY53,0.994743938,0.677
Q9GLC3,-1.093474472,0.677
G1SS69,-2.787270797,0.678
G1SHV9,0.826808477,0.679
G1T8B6,1.017761891,0.68
G1T3I9,1.421781225,0.682
G1SFL7,1.786974345,0.683
A0A5F9DP87,1.04094792,0.684
